"Index","AMAZ.Open","AMAZ.High","AMAZ.Low","AMAZ.Close","AMAZ.Volume"
2008-08-05,NA,NA,NA,2,0
2008-08-06,NA,NA,NA,2,0
2008-08-07,NA,NA,NA,2,0
2008-08-08,NA,NA,NA,2,0
2008-08-11,1.6,1.8,1.6,1.6,1000
2008-08-12,1.6,1.6,1.6,1.6,824
2008-08-13,NA,NA,NA,1.6,0
2008-08-14,NA,NA,NA,1.6,0
2008-08-15,1.6,1.6,1.6,1.6,81
2008-08-18,1.6,1.6,1.6,1.6,74
2008-08-19,1.6,1.6,1.6,1.6,62
2008-08-20,NA,NA,NA,1.6,0
2008-08-21,NA,NA,NA,1.6,0
2008-08-22,1.6,1.6,1.6,1.6,259
2008-08-25,1.28,1.28,1.28,1.28,417
2008-08-26,1.2,1.4,1.2,1.2,1850
2008-08-27,NA,NA,NA,1.2,0
2008-08-28,1.2,1.4,1.2,1.4,625
2008-08-29,NA,NA,NA,1.4,0
2008-09-02,1.4,1.4,1.4,1.4,250
2008-09-03,NA,NA,NA,1.4,0
2008-09-04,1.6,1.6,1.6,1.6,500
2008-09-05,NA,NA,NA,1.6,0
2008-09-08,1.6,1.6,1.6,1.6,575
2008-09-09,1.6,1.6,1.6,1.6,1250
2008-09-10,NA,NA,NA,1.6,0
2008-09-11,NA,NA,NA,1.6,0
2008-09-12,1.4,1.4,1.4,1.4,38
2008-09-15,NA,NA,NA,1.4,0
2008-09-16,1.2,1.2,1.2,1.2,50
2008-09-17,1.6,1.6,1.2,1.2,498
2008-09-18,NA,NA,NA,1.2,0
2008-09-19,NA,NA,NA,1.2,0
2008-09-22,0.8,0.8,0.8,0.8,28
2008-09-23,1.2,1.6,1.2,1.6,300
2008-09-24,NA,NA,NA,1.6,0
2008-09-25,NA,NA,NA,1.6,0
2008-09-26,NA,NA,NA,1.6,0
2008-09-29,NA,NA,NA,1.6,0
2008-09-30,1.2,1.6,1.2,1.4,912
2008-10-01,NA,NA,NA,1.4,0
2008-10-02,1.6,1.6,1.2,1.2,662
2008-10-03,NA,NA,NA,1.2,0
2008-10-06,1.2,1.2,1.2,1.2,825
2008-10-07,1.2,1.2,1.2,1.2,675
2008-10-08,0.8,0.8,0.8,0.8,50
2008-10-09,0.8,0.8,0.8,0.8,258
2008-10-10,NA,NA,NA,0.8,0
2008-10-13,NA,NA,NA,0.8,0
2008-10-14,1.2,1.2,1.1,1.2,2500
2008-10-15,1,1,0.8,0.8,2125
2008-10-16,NA,NA,NA,0.8,0
2008-10-17,0.8,0.8,0.4,0.6,1875
2008-10-20,1,1,1,1,125
2008-10-21,1,1,0.68,0.68,6475
2008-10-22,0.6,0.6,0.6,0.6,250
2008-10-23,0.4,0.4,0.4,0.4,3012
2008-10-24,1,1,1,1,500
2008-10-27,NA,NA,NA,1,0
2008-10-28,NA,NA,NA,1,0
2008-10-29,0.6,1.2,0.6,1.2,1005
2008-10-30,NA,NA,NA,1.2,0
2008-10-31,NA,NA,NA,1.2,0
2008-11-03,NA,NA,NA,1.2,0
2008-11-04,NA,NA,NA,1.2,0
2008-11-05,NA,NA,NA,1.2,0
2008-11-06,1,1,0.8,0.8,2500
2008-11-07,NA,NA,NA,0.8,0
2008-11-10,0.9,0.9,0.9,0.9,188
2008-11-11,0.9,0.9,0.9,0.9,250
2008-11-12,0.9,0.9,0.8,0.8,1625
2008-11-13,0.5,0.5,0.5,0.5,18275
2008-11-14,0.5,0.5,0.5,0.5,112
2008-11-17,0.5,0.5,0.5,0.5,124
2008-11-18,NA,NA,NA,0.5,0
2008-11-19,NA,NA,NA,0.5,0
2008-11-20,NA,NA,NA,0.5,0
2008-11-21,NA,NA,NA,0.5,0
2008-11-24,NA,NA,NA,0.5,0
2008-11-25,0.5,0.5,0.5,0.5,1000
2008-11-26,NA,NA,NA,0.5,0
2008-11-28,0.5,0.5,0.5,0.5,125
2008-12-01,NA,NA,NA,0.5,0
2008-12-02,NA,NA,NA,0.5,0
2008-12-03,NA,NA,NA,0.5,0
2008-12-04,0.5,0.5,0.4,0.4,1875
2008-12-05,NA,NA,NA,0.4,0
2008-12-08,0.28,0.28,0.28,0.28,100
2008-12-09,0.4,0.4,0.4,0.4,1500
2008-12-10,NA,NA,NA,0.4,0
2008-12-11,0.2,0.4,0.4,0.4,1950
2008-12-12,NA,NA,NA,0.4,0
2008-12-15,0.48,0.48,0.48,0.48,550
2008-12-16,0.2,0.2,0.2,0.2,5000
2008-12-17,0.4,0.4,0.4,0.4,3150
2008-12-18,0.4,0.4,0.4,0.4,1225
2008-12-19,NA,NA,NA,0.4,0
2008-12-22,NA,NA,NA,0.4,0
2008-12-23,NA,NA,NA,0.4,0
2008-12-24,0.28,0.28,0.28,0.28,220
2008-12-26,0.28,0.28,0.28,0.28,261
2008-12-29,0.28,0.28,0.08,0.08,8800
2008-12-30,0.16,0.24,0.16,0.2,3408
2008-12-31,0.36,0.4,0.24,0.4,6402
2009-01-02,NA,NA,NA,0.4,0
2009-01-05,0.48,0.48,0.48,0.48,375
2009-01-06,NA,NA,NA,0.48,0
2009-01-07,0.6,0.6,0.6,0.6,875
2009-01-08,0.6,0.6,0.4,0.4,2510
2009-01-09,0.36,0.36,0.36,0.36,250
2009-01-12,0.36,0.4,0.28,0.28,9090
2009-01-13,NA,NA,NA,0.28,0
2009-01-14,0.4,0.4,0.4,0.4,25
2009-01-15,NA,NA,NA,0.4,0
2009-01-16,NA,NA,NA,0.4,0
2009-01-20,0.4,0.4,0.34,0.34,1000
2009-01-21,0.34,0.34,0.34,0.34,1250
2009-01-22,0.4,0.4,0.4,0.4,250
2009-01-23,0.4,0.4,0.33,0.33,182
2009-01-26,NA,NA,NA,0.33,0
2009-01-27,NA,NA,NA,0.33,0
2009-01-28,NA,NA,NA,0.33,0
2009-01-29,NA,NA,NA,0.33,0
2009-01-30,0.4,0.4,0.32,0.32,8250
2009-02-02,0.4,0.4,0.4,0.4,300
2009-02-03,0.4,0.4,0.4,0.4,1000
2009-02-04,NA,NA,NA,0.4,0
2009-02-05,NA,NA,NA,0.4,0
2009-02-06,NA,NA,NA,0.4,0
2009-02-09,NA,NA,NA,0.4,0
2009-02-10,0.32,0.32,0.32,0.32,1250
2009-02-11,0.32,0.32,0.32,0.32,125
2009-02-12,NA,NA,NA,0.32,0
2009-02-13,0.4,0.44,0.4,0.44,5500
2009-02-17,0.4,0.4,0.32,0.32,3875
2009-02-18,0.32,0.32,0.2,0.29,58886
2009-02-19,0.32,0.32,0.24,0.24,1250
2009-02-20,0.32,0.32,0.32,0.32,1250
2009-02-23,0.32,0.32,0.32,0.32,528
2009-02-24,NA,NA,NA,0.32,0
2009-02-25,0.32,0.32,0.32,0.32,2125
2009-02-26,NA,NA,NA,0.32,0
2009-02-27,0.32,0.32,0.32,0.32,2750
2009-03-02,NA,NA,NA,0.32,0
2009-03-03,0.32,0.32,0.32,0.32,42
2009-03-04,NA,NA,NA,0.32,0
2009-03-05,NA,NA,NA,0.32,0
2009-03-06,NA,NA,NA,0.32,0
2009-03-09,NA,NA,NA,0.32,0
2009-03-10,0.4,0.4,0.4,0.4,250
2009-03-11,0.4,0.4,0.4,0.4,500
2009-03-12,0.4,0.4,0.4,0.4,25
2009-03-13,NA,NA,NA,0.4,0
2009-03-16,0.4,0.4,0.4,0.4,125
2009-03-17,NA,NA,NA,0.4,0
2009-03-18,0.24,0.24,0.24,0.24,300
2009-03-19,NA,NA,NA,0.24,0
